Vehicle_ID,Global_Time,Global_X,v_Vel
983,36.900000000000006,57.74099999945611,49.09
1769,311.3,115.9199999999255,16.07
1661,269.5,199.89299999922514,35.0
1094,80.19999999999999,179.69199999980628,16.16
1460,204.7,251.15099999960512,15.0
1551,240.89999999999998,411.39199999999255,40.0
771,7.099999999999994,748.893999999389,50.0
1038,80.5,626.8269999995828,36.9
1882,346.9,292.2269999999553,39.62
1026,73.80000000000001,569.5019999993965,32.84
1839,312.79999999999995,4.502999999560416,15.0
1507,228.2,471.73199999984354,40.0
1006,71.19999999999999,690.6589999999851,39.21
1289,159.8,226.67499999981374,36.94
883,28.900000000000006,604.8349999999627,34.94
947,31.0,223.81499999947846,40.49
1848,338.4,356.78099999949336,40.08
897,13.900000000000006,40.69099999964237,44.52
1762,332.29999999999995,749.785000000149,35.75
1681,293.3,532.4119999995455,29.29
1656,261.7,27.32299999985844,43.71
1144,95.69999999999999,54.60699999984354,14.49
1389,173.3,120.17399999964982,39.92
1588,247.3,253.92399999964982,37.8
1262,143.0,22.673999999649823,35.0
1663,287.6,542.2019999995828,38.28
1131,107.10000000000002,384.8309999993071,39.88
1746,290.7,95.27199999988079,19.49
1848,344.1,533.8020000001416,40.32
1783,330.4,438.67499999981374,40.0
1612,252.8,159.89099999982864,41.11
1645,279.1,540.5609999997541,25.68
1353,174.39999999999998,279.52999999932945,33.57
1435,212.60000000000002,594.026999999769,40.43
1252,164.39999999999998,650.3959999997169,25.0
1063,86.39999999999998,518.625,34.08
1339,182.39999999999998,550.4389999993145,22.05
1526,219.60000000000002,101.96399999968708,10.09
1627,270.2,493.0559999998659,30.0
1478,212.8,258.26799999922514,19.99
883,10.5,11.786999999545515,48.1
1106,73.30000000000001,9.93999999947846,25.06
1709,297.2,336.97099999990314,19.89
1289,161.60000000000002,275.6929999999702,39.65
891,24.400000000000006,386.6379999993369,49.72
1260,144.7,102.42799999937415,37.11
1882,343.70000000000005,200.80999999959022,35.39
891,36.19999999999999,738.4349999995902,29.75
950,31.80000000000001,221.4459999995306,37.79
1677,271.4,118.4210000000894,34.16
1557,253.7,724.8829999994487,37.88
976,39.5,195.98099999967963,35.92
918,21.19999999999999,109.1269999993965,37.32
991,50.599999999999994,332.1489999992773,39.94
1551,235.0,235.1489999992773,37.8
1155,115.69999999999999,340.24500000011176,39.97
1109,77.19999999999999,14.487999999895692,19.98
1515,218.0,145.05399999953806,17.47
897,33.900000000000006,643.3759999992326,30.0
1656,282.0,500.30299999937415,24.97
1215,143.0,514.6310000000522,42.03
1752,295.5,121.26899999938905,19.99
1083,72.0,100.08899999968708,31.63
1399,176.5,27.825999999418855,39.84
1063,89.0,589.8259999994189,38.35
1534,235.89999999999998,419.34700000006706,44.68
1890,346.5,228.26899999938905,34.96
1001,62.80000000000001,529.0829999996349,27.76
1778,331.29999999999995,541.7649999996647,47.17
1056,86.60000000000002,606.7829999998212,35.0
1733,306.4,352.44900000002235,29.46
1026,72.80000000000001,544.1759999999776,32.61
1405,180.5,101.56099999975413,34.16
976,39.0,182.21999999973923,40.07
1602,264.1,581.527999999933,30.47
1844,335.70000000000005,328.1710000000894,39.6
1394,196.8,471.51899999938905,25.0
1361,194.10000000000002,612.8199999993667,30.0
928,40.69999999999999,607.4869999997318,30.0
1304,168.2,368.1009999997914,36.35
1762,311.8,246.58699999935925,20.0
1548,251.60000000000002,748.9150000000373,40.0
1394,199.10000000000002,520.2569999992847,30.1
1155,112.10000000000002,248.42700000014156,29.99
1698,296.9,429.3629999998957,25.44
1741,304.1,282.6619999995455,17.09
1227,148.2,513.7909999992698,36.28
1642,255.3,29.470999999903142,39.45
854,21.30000000000001,552.0329999998212,44.83
1233,134.8,89.79999999981374,39.1
1890,338.6,41.796999999322,33.85
1209,143.7,619.0139999995008,45.0
1771,299.4,37.73399999924004,17.28
990,38.599999999999994,37.972999999299645,52.76
947,32.099999999999994,255.5449999999255,39.99
1338,166.7,146.18899999931455,41.57
1709,298.8,364.554999999702,27.49
1262,163.5,552.3419999992475,29.44
1627,268.1,445.33799999952316,31.27
1094,79.89999999999998,175.9089999999851,18.73
1741,290.4,120.43800000008196,19.99
844,4.599999999999994,131.35999999940395,37.4
1049,76.30000000000001,436.33699999935925,25.0
1741,284.5,23.196999999694526,35.39
1209,141.3,535.3729999996722,44.13
1065,93.80000000000001,694.5829999996349,42.52
1519,241.2,693.1219999995083,36.09
882,11.0,57.62099999934435,45.0
1215,140.10000000000002,418.6839999994263,40.89
1911,350.0,174.4429999999702,40.58
1106,96.39999999999998,348.6459999997169,25.51
1304,184.3,678.8300000000745,32.12
