Vehicle_ID,Global_Time,Global_X,v_Vel
748,0.0,723.9229999994859,48.74
748,0.09999999999999432,727.5609999997541,48.31
748,0.19999999999998863,731.2119999993593,47.8
748,0.30000000000001137,734.7839999999851,47.08
748,0.4000000000000057,738.3039999995381,46.23
748,0.5,741.7539999997243,45.51
748,0.5999999999999943,745.1209999993443,45.1
748,0.6999999999999886,748.5089999996126,44.97
753,0.0,645.6259999992326,50.0
753,0.09999999999999432,649.3719999995083,50.0
753,0.19999999999998863,653.1179999997839,50.0
753,0.30000000000001137,656.8649999992922,49.98
753,0.4000000000000057,660.6109999995679,49.98
753,0.5,664.3569999998435,50.09
753,0.5999999999999943,668.0809999993071,50.4
753,0.6999999999999886,671.8759999992326,50.86
753,0.8000000000000114,675.7119999993593,51.21
753,0.9000000000000057,679.6219999995083,51.16
753,1.0,683.518999999389,50.76
753,1.0999999999999943,687.3569999998435,50.4
753,1.1999999999999886,691.1229999996722,50.42
753,1.3000000000000114,694.9669999992475,50.82
753,1.4000000000000057,698.8640000000596,51.22
753,1.5,702.7939999997616,51.24
753,1.5999999999999943,706.6459999997169,50.87
753,1.6999999999999886,710.4589999997988,50.4
753,1.8000000000000114,714.2019999995828,50.08
753,1.9000000000000057,717.9669999992475,49.97
753,2.0,721.7319999998435,49.98
753,2.0999999999999943,725.4969999995083,50.0
753,2.1999999999999886,729.2620000001043,50.0
753,2.3000000000000114,733.026999999769,50.0
753,2.4000000000000057,736.7919999994338,50.0
753,2.5,740.5570000000298,50.02
753,2.5999999999999943,744.3219999996945,50.03
753,2.6999999999999886,748.0869999993593,49.93
763,0.0,574.1889999993145,50.68
763,0.09999999999999432,578.0179999992251,50.21
763,0.19999999999998863,581.8300000000745,49.98
763,0.30000000000001137,585.652999999933,50.02
763,0.4000000000000057,589.5,50.27
763,0.5,593.2749999994412,50.6
763,0.5999999999999943,597.0029999995604,50.82
763,0.6999999999999886,600.7059999993071,50.77
763,0.8000000000000114,604.4349999995902,50.49
763,0.9000000000000057,608.222000000067,50.18
763,1.0,612.0,50.0
763,1.0999999999999943,615.73399999924,49.97
763,1.1999999999999886,619.4799999995157,49.99
763,1.3000000000000114,623.2259999997914,49.95
763,1.4000000000000057,626.972000000067,49.81
763,1.5,630.7189999995753,49.72
763,1.5999999999999943,634.464999999851,49.72
763,1.6999999999999886,638.2110000001267,49.81
763,1.8000000000000114,641.956999999471,49.94
763,1.9000000000000057,645.7029999997467,50.0
763,2.0,649.4499999992549,50.0
763,2.0999999999999943,653.1959999995306,50.0
